"Duration,""Start Time"",""Profile Name"",""Country"",""Bookmark"",""Latest Bookmark"",""Supplemental Video Type"",""Attributes"",""Device Type"",""Title""";;;
"00:00:45,""2026-01-18 03:06:54"",""Ryan"",""BR (Brazil)"",""00:00:45"",""00:00:45"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Cheaper by the Dozen_hook_primary""";;
"00:01:39,""2026-01-18 03:05:09"",""Ryan"",""BR (Brazil)"",""00:01:39"",""00:01:39"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Temporada 1 (Trailer): Néro""";;
"00:00:57,""2026-01-18 03:04:09"",""Ryan"",""BR (Brazil)"",""00:00:57"",""00:00:57"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Soldado_hook_primary_16x9""";;
"00:01:17,""2026-01-18 03:02:48"",""Ryan"",""BR (Brazil)"",""00:01:17"",""00:01:17"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Reis: Series 1_hook_primary""";;
"00:01:23,""2026-01-18 03:01:22"",""Ryan"",""BR (Brazil)"",""00:01:23"",""00:01:23"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Bride of Istanbul: Season 1_hook_primary""";;
"00:01:02,""2026-01-18 03:00:15"",""Ryan"",""BR (Brazil)"",""00:01:02"",""00:01:02"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Teaser: Os Ratos: Uma História de The Witcher""";;
"00:01:58,""2026-01-18 02:58:15"",""Ryan"",""BR (Brazil)"",""00:01:58"",""00:01:58"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Minissérie (Trailer): Dele & Dela""";;
"01:46:54,""2026-01-18 01:11:18"",""Ryan"",""BR (Brazil)"",""01:46:54"",""01:46:54"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Dinheiro Suspeito""";;;
"00:00:17,""2026-01-18 01:10:56"",""Ryan"",""BR (Brazil)"",""00:00:17"",""00:00:17"",""TRAILER"",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer: Dinheiro Suspeito""";;
"00:00:28,""2026-01-18 01:10:24"",""Ryan"",""BR (Brazil)"",""00:00:28"",""00:00:28"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Clipe 3: Os Ratos: Uma História de The Witcher""";;
"00:30:51,""2026-01-18 00:05:36"",""Ryan"",""BR (Brazil)"",""00:34:22"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Tina (episódio 6)""";;;
"00:51:34,""2026-01-17 22:59:52"",""Ryan"",""BR (Brazil)"",""00:57:34"",""00:57:34"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Luto (episódio 5)""";;;
"00:05:23,""2026-01-17 22:53:40"",""Ryan"",""BR (Brazil)"",""00:05:23"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Luto (episódio 5)""";;;
"00:47:12,""2026-01-17 13:48:45"",""Ryan"",""BR (Brazil)"",""00:52:04"",""00:52:04"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Guerra (episódio 4)""";;;
"00:44:06,""2026-01-17 13:04:32"",""Ryan"",""BR (Brazil)"",""00:45:39"",""00:45:39"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Pelados (episódio 3)""";;;
"00:38:30,""2026-01-17 12:25:44"",""Ryan"",""BR (Brazil)"",""00:39:53"",""00:39:53"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Selfies (episódio 2)""";;;
"00:45:11,""2026-01-17 11:40:03"",""Ryan"",""BR (Brazil)"",""00:50:09"",""00:50:09"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Ansiedade (episódio 1)""";;;
"00:00:02,""2026-01-17 11:39:32"",""Ryan"",""BR (Brazil)"",""00:00:02"",""00:00:02"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 1: Sábado à noite (episódio 3)""";;;
